GKZ;Anzahl;Anzahl_Inzidenz;Timestamp;;;;Farbe;Rang;Zeile;;;Ränge;1;0;fceed3
207;48;74,2252731323242;03.05.20 17:00;;;;"=WENNS(I16=N$5;P$5;I16=N$4;P$4;I16=N$3;P$3;I16 = N$2;P$2;I16=N$1;P$1)";"=WENNS(C16>O$5;N$5;C16>O$4;N$4;C16>O$3;N$3;C16>O$2;N$2;C16>O$1;N$1)";"="".bz""&TEXT(A16;""0"") & "" { fill:#"" &TEXT(H16;""0"") &"";fill-opacity:1 }""";;;;;;
208;54;128,945983886719;03.05.20 17:00;;;;"=WENNS(I17=N$5;P$5;I17=N$4;P$4;I17=N$3;P$3;I17 = N$2;P$2;I17=N$1;P$1)";"=WENNS(C17>O$5;N$5;C17>O$4;N$4;C17>O$3;N$3;C17>O$2;N$2;C17>O$1;N$1)";"="".bz""&TEXT(A17;""0"") & "" { fill:#"" &TEXT(H17;""0"") &"";fill-opacity:1 }""";;;;;;
209;44;83,4502868652344;03.05.20 17:00;;;;"=WENNS(I18=N$5;P$5;I18=N$4;P$4;I18=N$3;P$3;I18 = N$2;P$2;I18=N$1;P$1)";"=WENNS(C18>O$5;N$5;C18>O$4;N$4;C18>O$3;N$3;C18>O$2;N$2;C18>O$1;N$1)";"="".bz""&TEXT(A18;""0"") & "" { fill:#"" &TEXT(H18;""0"") &"";fill-opacity:1 }""";;;;;;
210;15;50,1052207946777;03.05.20 17:00;;;;"=WENNS(I19=N$5;P$5;I19=N$4;P$4;I19=N$3;P$3;I19 = N$2;P$2;I19=N$1;P$1)";"=WENNS(C19>O$5;N$5;C19>O$4;N$4;C19>O$3;N$3;C19>O$2;N$2;C19>O$1;N$1)";"="".bz""&TEXT(A19;""0"") & "" { fill:#"" &TEXT(H19;""0"") &"";fill-opacity:1 }""";;;;;;
301;40;160,797561645508;03.05.20 17:00;;;;"=WENNS(I20=N$5;P$5;I20=N$4;P$4;I20=N$3;P$3;I20 = N$2;P$2;I20=N$1;P$1)";"=WENNS(C20>O$5;N$5;C20>O$4;N$4;C20>O$3;N$3;C20>O$2;N$2;C20>O$1;N$1)";"="".bz""&TEXT(A20;""0"") & "" { fill:#"" &TEXT(H20;""0"") &"";fill-opacity:1 }""";;;;;;
302;86;156,238647460938;03.05.20 17:00;;;;"=WENNS(I21=N$5;P$5;I21=N$4;P$4;I21=N$3;P$3;I21 = N$2;P$2;I21=N$1;P$1)";"=WENNS(C21>O$5;N$5;C21>O$4;N$4;C21>O$3;N$3;C21>O$2;N$2;C21>O$1;N$1)";"="".bz""&TEXT(A21;""0"") & "" { fill:#"" &TEXT(H21;""0"") &"";fill-opacity:1 }""";;;;;;
303;23;204,244735717773;03.05.20 17:00;;;;"=WENNS(I22=N$5;P$5;I22=N$4;P$4;I22=N$3;P$3;I22 = N$2;P$2;I22=N$1;P$1)";"=WENNS(C22>O$5;N$5;C22>O$4;N$4;C22>O$3;N$3;C22>O$2;N$2;C22>O$1;N$1)";"="".bz""&TEXT(A22;""0"") & "" { fill:#"" &TEXT(H22;""0"") &"";fill-opacity:1 }""";;;;;;
304;46;101,596839904785;03.05.20 17:00;;;;"=WENNS(I23=N$5;P$5;I23=N$4;P$4;I23=N$3;P$3;I23 = N$2;P$2;I23=N$1;P$1)";"=WENNS(C23>O$5;N$5;C23>O$4;N$4;C23>O$3;N$3;C23>O$2;N$2;C23>O$1;N$1)";"="".bz""&TEXT(A23;""0"") & "" { fill:#"" &TEXT(H23;""0"") &"";fill-opacity:1 }""";;;;;;
305;295;254,060668945313;03.05.20 17:00;;;;"=WENNS(I24=N$5;P$5;I24=N$4;P$4;I24=N$3;P$3;I24 = N$2;P$2;I24=N$1;P$1)";"=WENNS(C24>O$5;N$5;C24>O$4;N$4;C24>O$3;N$3;C24>O$2;N$2;C24>O$1;N$1)";"="".bz""&TEXT(A24;""0"") & "" { fill:#"" &TEXT(H24;""0"") &"";fill-opacity:1 }""";;;;;;
306;138;94,3893051147461;03.05.20 17:00;;;;"=WENNS(I25=N$5;P$5;I25=N$4;P$4;I25=N$3;P$3;I25 = N$2;P$2;I25=N$1;P$1)";"=WENNS(C25>O$5;N$5;C25>O$4;N$4;C25>O$3;N$3;C25>O$2;N$2;C25>O$1;N$1)";"="".bz""&TEXT(A25;""0"") & "" { fill:#"" &TEXT(H25;""0"") &"";fill-opacity:1 }""";;;;;;
