GKZ;Anzahl;Anzahl_Inzidenz;Timestamp;GKZ;Anzahl;Anzahl_Inzidenz;Timestamp;;;Differenz absolut;Differenz Inzidenz;;;Farbe;Rang;Zeile;;;Zeile effektiv;;;Maximum;=MAX(L2:L94);;Ränge;1;0;fceed3
203;5;27,4363479614258;19.04.20 19:00;203;5;27,4363479614258;03.05.20 17:00;;;=F12-B12;=G12-C12;;;"=WENNS(P12=AA$5;AC$5;P12=AA$4;AC$4;P12=AA$3;AC$3;P12 = AA$2;AC$2;P12=AA$1;AC$1)";"=WENNS(L12>AB$5;AA$5;L12>AB$4;AA$4;L12>AB$3;AA$3;L12>AB$2;AA$2;L12>AB$1;AA$1)";"="".bz""&TEXT(E12;""0"") & "" { fill:#"" &TEXT(O12;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q12;"""")";;;;;;;;;
204;39;65,2173919677734;19.04.20 19:00;204;43;71,9063568115234;03.05.20 17:00;;;=F13-B13;=G13-C13;;;"=WENNS(P13=AA$5;AC$5;P13=AA$4;AC$4;P13=AA$3;AC$3;P13 = AA$2;AC$2;P13=AA$1;AC$1)";"=WENNS(L13>AB$5;AA$5;L13>AB$4;AA$4;L13>AB$3;AA$3;L13>AB$2;AA$2;L13>AB$1;AA$1)";"="".bz""&TEXT(E13;""0"") & "" { fill:#"" &TEXT(O13;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q13;"""")";;;;;;;;;
205;50;91,6506271362305;19.04.20 19:00;205;50;91,6506271362305;03.05.20 17:00;;;=F14-B14;=G14-C14;;;"=WENNS(P14=AA$5;AC$5;P14=AA$4;AC$4;P14=AA$3;AC$3;P14 = AA$2;AC$2;P14=AA$1;AC$1)";"=WENNS(L14>AB$5;AA$5;L14>AB$4;AA$4;L14>AB$3;AA$3;L14>AB$2;AA$2;L14>AB$1;AA$1)";"="".bz""&TEXT(E14;""0"") & "" { fill:#"" &TEXT(O14;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q14;"""")";;;;;;;;;
206;39;51,2544174194336;19.04.20 19:00;206;41;53,8828506469727;03.05.20 17:00;;;=F15-B15;=G15-C15;;;"=WENNS(P15=AA$5;AC$5;P15=AA$4;AC$4;P15=AA$3;AC$3;P15 = AA$2;AC$2;P15=AA$1;AC$1)";"=WENNS(L15>AB$5;AA$5;L15>AB$4;AA$4;L15>AB$3;AA$3;L15>AB$2;AA$2;L15>AB$1;AA$1)";"="".bz""&TEXT(E15;""0"") & "" { fill:#"" &TEXT(O15;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q15;"""")";;;;;;;;;
207;48;74,2252731323242;19.04.20 19:00;207;48;74,2252731323242;03.05.20 17:00;;;=F16-B16;=G16-C16;;;"=WENNS(P16=AA$5;AC$5;P16=AA$4;AC$4;P16=AA$3;AC$3;P16 = AA$2;AC$2;P16=AA$1;AC$1)";"=WENNS(L16>AB$5;AA$5;L16>AB$4;AA$4;L16>AB$3;AA$3;L16>AB$2;AA$2;L16>AB$1;AA$1)";"="".bz""&TEXT(E16;""0"") & "" { fill:#"" &TEXT(O16;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q16;"""")";;;;;;;;;
208;52;124,170211791992;19.04.20 19:00;208;54;128,945983886719;03.05.20 17:00;;;=F17-B17;=G17-C17;;;"=WENNS(P17=AA$5;AC$5;P17=AA$4;AC$4;P17=AA$3;AC$3;P17 = AA$2;AC$2;P17=AA$1;AC$1)";"=WENNS(L17>AB$5;AA$5;L17>AB$4;AA$4;L17>AB$3;AA$3;L17>AB$2;AA$2;L17>AB$1;AA$1)";"="".bz""&TEXT(E17;""0"") & "" { fill:#"" &TEXT(O17;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q17;"""")";;;;;;;;;
209;42;79,657096862793;19.04.20 19:00;209;44;83,4502868652344;03.05.20 17:00;;;=F18-B18;=G18-C18;;;"=WENNS(P18=AA$5;AC$5;P18=AA$4;AC$4;P18=AA$3;AC$3;P18 = AA$2;AC$2;P18=AA$1;AC$1)";"=WENNS(L18>AB$5;AA$5;L18>AB$4;AA$4;L18>AB$3;AA$3;L18>AB$2;AA$2;L18>AB$1;AA$1)";"="".bz""&TEXT(E18;""0"") & "" { fill:#"" &TEXT(O18;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q18;"""")";;;;;;;;;
210;14;46,7648735046387;19.04.20 19:00;210;15;50,1052207946777;03.05.20 17:00;;;=F19-B19;=G19-C19;;;"=WENNS(P19=AA$5;AC$5;P19=AA$4;AC$4;P19=AA$3;AC$3;P19 = AA$2;AC$2;P19=AA$1;AC$1)";"=WENNS(L19>AB$5;AA$5;L19>AB$4;AA$4;L19>AB$3;AA$3;L19>AB$2;AA$2;L19>AB$1;AA$1)";"="".bz""&TEXT(E19;""0"") & "" { fill:#"" &TEXT(O19;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q19;"""")";;;;;;;;;
301;36;144,717803955078;19.04.20 19:00;301;40;160,797561645508;03.05.20 17:00;;;=F20-B20;=G20-C20;;;"=WENNS(P20=AA$5;AC$5;P20=AA$4;AC$4;P20=AA$3;AC$3;P20 = AA$2;AC$2;P20=AA$1;AC$1)";"=WENNS(L20>AB$5;AA$5;L20>AB$4;AA$4;L20>AB$3;AA$3;L20>AB$2;AA$2;L20>AB$1;AA$1)";"="".bz""&TEXT(E20;""0"") & "" { fill:#"" &TEXT(O20;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q20;"""")";;;;;;;;;
302;83;150,788467407227;19.04.20 19:00;302;86;156,238647460938;03.05.20 17:00;;;=F21-B21;=G21-C21;;;"=WENNS(P21=AA$5;AC$5;P21=AA$4;AC$4;P21=AA$3;AC$3;P21 = AA$2;AC$2;P21=AA$1;AC$1)";"=WENNS(L21>AB$5;AA$5;L21>AB$4;AA$4;L21>AB$3;AA$3;L21>AB$2;AA$2;L21>AB$1;AA$1)";"="".bz""&TEXT(E21;""0"") & "" { fill:#"" &TEXT(O21;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q21;"""")";;;;;;;;;
