GKZ	Bezirk	Bundesland	Artikel	Differenz_Anzahl	Differenz_Inzidenz	Timestamp_Alt	Timestamp_Neu	Intervall
505	Tamsweg	Salzburg	Bezirk Tamsweg	206	1013.8	2021-01-06 14:02:00	2021-01-20 14:02:00	14
502	Hallein	Salzburg	Bezirk Hallein	379	627.8	2021-01-06 14:02:00	2021-01-20 14:02:00	14
325	Zwettl	Niederösterreich	Bezirk Zwettl	245	580.3	2021-01-06 14:02:00	2021-01-20 14:02:00	14
210	Feldkirchen	Kärnten	Bezirk Feldkirchen	156	521.1	2021-01-06 14:02:00	2021-01-20 14:02:00	14
504	Sankt Johann im Pongau	Salzburg	Bezirk Sankt Johann im Pongau	411	510.1	2021-01-06 14:02:00	2021-01-20 14:02:00	14
203	Hermagor	Kärnten	Bezirk Hermagor	92	504.8	2021-01-06 14:02:00	2021-01-20 14:02:00	14
206	Spittal an der Drau	Kärnten	Bezirk Spittal an der Drau	365	479.7	2021-01-06 14:02:00	2021-01-20 14:02:00	14
303	Waidhofen an der Ybbs	Niederösterreich	Waidhofen an der Ybbs	53	470.7	2021-01-06 14:02:00	2021-01-20 14:02:00	14
104	Güssing	Burgenland	Bezirk Güssing	112	434.2	2021-01-06 14:02:00	2021-01-20 14:02:00	14
612	Liezen (inkl. Gröbming)	Steiermark	Bezirk Liezen	341	426.8	2021-01-06 14:02:00	2021-01-20 14:02:00	14
501	Salzburg (Stadt)	Salzburg	Salzburg (Stadt)	654	424.1	2021-01-06 14:02:00	2021-01-20 14:02:00	14
320	Scheibbs	Niederösterreich	Bezirk Scheibbs	175	422.7	2021-01-06 14:02:00	2021-01-20 14:02:00	14
707	Lienz	Tirol	Bezirk Lienz	192	393.8	2021-01-06 14:02:00	2021-01-20 14:02:00	14
304	Wiener Neustadt	Niederösterreich	Wiener Neustadt	175	386.5	2021-01-06 14:02:00	2021-01-20 14:02:00	14
704	Kitzbühel	Tirol	Bezirk Kitzbühel	238	372.6	2021-01-06 14:02:00	2021-01-20 14:02:00	14
407	Gmunden	Oberösterreich	Bezirk Gmunden	376	370.0	2021-01-06 14:02:00	2021-01-20 14:02:00	14
204	Klagenfurt Land	Kärnten	Bezirk Klagenfurt-Land	216	361.2	2021-01-06 14:02:00	2021-01-20 14:02:00	14
708	Reutte	Tirol	Bezirk Reutte	117	358.1	2021-01-06 14:02:00	2021-01-20 14:02:00	14
305	Amstetten	Niederösterreich	Bezirk Amstetten	410	353.1	2021-01-06 14:02:00	2021-01-20 14:02:00	14
503	Salzburg-Umgebung	Salzburg	Bezirk Salzburg-Umgebung	532	349.4	2021-01-06 14:02:00	2021-01-20 14:02:00	14
506	Zell am See	Salzburg	Bezirk Zell am See	297	339.6	2021-01-06 14:02:00	2021-01-20 14:02:00	14
306	Baden	Niederösterreich	Bezirk Baden (Niederösterreich)	474	324.2	2021-01-06 14:02:00	2021-01-20 14:02:00	14
414	Schärding	Oberösterreich	Bezirk Schärding	180	314.1	2021-01-06 14:02:00	2021-01-20 14:02:00	14
205	Sankt Veit an der Glan	Kärnten	Bezirk Sankt Veit an der Glan	170	311.6	2021-01-06 14:02:00	2021-01-20 14:02:00	14
620	Murtal	Steiermark	Bezirk Murtal	223	309.7	2021-01-06 14:02:00	2021-01-20 14:02:00	14
323	Wiener Neustadt (Land)	Niederösterreich	Bezirk Wiener Neustadt-Land	231	296.2	2021-01-06 14:02:00	2021-01-20 14:02:00	14
208	Völkermarkt	Kärnten	Bezirk Völkermarkt	122	291.3	2021-01-06 14:02:00	2021-01-20 14:02:00	14
603	Deutschlandsberg	Steiermark	Bezirk Deutschlandsberg	176	289.4	2021-01-06 14:02:00	2021-01-20 14:02:00	14
321	Tulln	Niederösterreich	Bezirk Tulln	299	288.1	2021-01-06 14:02:00	2021-01-20 14:02:00	14
318	Neunkirchen	Niederösterreich	Bezirk Neunkirchen	246	285.1	2021-01-06 14:02:00	2021-01-20 14:02:00	14
404	Braunau am Inn	Oberösterreich	Bezirk Braunau am Inn	296	283.5	2021-01-06 14:02:00	2021-01-20 14:02:00	14
804	Feldkirch	Vorarlberg	Bezirk Feldkirch	297	277.2	2021-01-06 14:02:00	2021-01-20 14:02:00	14
623	Südoststeiermark	Steiermark	Bezirk Südoststeiermark	238	276.9	2021-01-06 14:02:00	2021-01-20 14:02:00	14
107	Neusiedl am See	Burgenland	Bezirk Neusiedl am See	162	272.0	2021-01-06 14:02:00	2021-01-20 14:02:00	14
