Datum	Uhrzeit	<5	5–14	15–24	25–34	35–44	45–54	55–64	65–74	75–84	>84
2020-04-20	13:00:00	0	0	0	1	0	4	13	73	157	166
2020-04-20	14:00:00	0	0	0	1	0	4	13	73	157	166
2020-04-20	15:00:00	0	0	0	1	0	4	13	73	157	168
2020-04-20	16:00:00	0	0	0	1	0	4	13	73	158	168
2020-04-20	17:00:00	0	0	0	1	1	4	15	74	162	171
2020-04-20	18:00:00	0	0	0	1	1	4	15	74	162	172
2020-04-20	19:00:00	0	0	0	1	1	4	15	76	162	172
2020-04-20	20:00:00	0	0	0	1	1	4	15	76	163	172
2020-04-20	21:00:00	0	0	0	1	1	4	15	76	163	172
2020-04-20	22:00:00	0	0	0	1	1	4	15	76	163	172
2020-04-20	23:00:00	0	0	0	1	1	4	15	76	163	172
2020-04-21	00:00:00	0	0	0	1	1	4	15	76	163	172
2020-04-21	01:00:00	0	0	0	1	1	4	15	76	163	172
2020-04-21	02:00:00	0	0	0	1	1	4	15	76	163	172
2020-04-21	03:00:00	0	0	0	1	1	4	15	76	163	172
2020-04-21	04:00:00	0	0	0	1	1	4	15	76	163	172
2020-04-21	05:00:00	0	0	0	1	1	4	15	76	163	172
2020-04-21	06:00:00	0	0	0	1	1	4	15	76	163	172
2020-04-21	07:00:00	0	0	0	1	1	4	15	76	163	172
2020-04-21	08:00:00	0	0	0	1	1	4	15	76	164	173
2020-04-21	09:00:00	0	0	0	1	1	4	15	76	164	173
2020-04-21	10:00:00	0	0	0	1	1	4	15	77	164	175
2020-04-21	11:00:00	0	0	0	1	1	4	15	77	165	176
2020-04-21	12:00:00	0	0	0	1	1	4	16	77	167	177
2020-04-21	13:00:00	0	0	0	1	1	4	17	77	167	177
2020-04-21	15:00:00	0	0	0	1	1	4	17	81	169	182
2020-04-21	16:00:00	0	0	0	1	1	4	16	81	169	182
2020-04-21	17:00:00	0	0	0	1	1	4	17	81	169	183
2020-04-21	18:00:00	0	0	0	1	1	4	17	81	169	183
2020-04-21	19:00:00	0	0	0	1	1	4	17	81	169	183
2020-04-21	20:00:00	0	0	0	1	1	4	17	81	169	183
2020-04-21	21:00:00	0	0	0	1	1	4	17	81	169	183
2020-04-21	22:00:00	0	0	0	1	1	5	17	81	171	185
2020-04-22	00:00:00	0	0	0	1	1	5	17	81	171	185
2020-04-22	01:00:00	0	0	0	1	1	5	17	81	171	185
2020-04-22	02:00:00	0	0	0	1	1	5	17	81	171	185
2020-04-22	03:00:00	0	0	0	1	1	5	17	81	171	185
2020-04-22	04:00:00	0	0	0	1	1	5	17	81	171	185
2020-04-22	05:00:00	0	0	0	1	1	5	17	81	171	185
2020-04-22	06:00:00	0	0	0	1	1	5	17	81	171	185
2020-04-22	07:00:00	0	0	0	1	1	5	17	81	171	185
2020-04-22	07:59:59	0	0	0	1	2	5	17	81	171	186
2020-04-22	09:00:00	0	0	0	1	2	5	17	81	171	186
2020-04-22	10:00:00	0	0	0	1	2	5	17	81	171	186
2020-04-22	11:00:00	0	0	0	1	2	5	17	81	171	187
2020-04-22	12:00:00	0	0	0	1	2	5	17	81	171	188
2020-04-22	13:00:00	0	0	0	1	2	5	17	81	172	188
2020-04-22	14:00:00	0	0	0	1	2	5	17	81	173	192
2020-04-22	15:00:00	0	0	0	1	2	5	17	81	175	192
2020-04-22	16:00:00	0	0	0	1	2	5	18	81	175	192
2020-04-22	17:00:00	0	0	0	1	2	5	18	82	175	193
2020-04-22	18:00:00	0	0	0	1	2	5	18	83	175	194
2020-04-22	19:00:00	0	0	0	2	2	5	19	88	179	197
2020-04-22	20:00:00	0	0	0	2	2	5	19	88	181	197
2020-04-22	21:00:00	0	0	0	1	2	5	19	88	182	197
2020-04-22	22:00:00	0	0	0	1	2	5	19	88	182	197
2020-04-22	23:00:00	0	0	0	1	2	5	19	88	182	197
2020-04-23	00:00:00	0	0	0	1	2	5	19	88	182	197
2020-04-23	01:00:00	0	0	0	1	2	5	19	88	182	197
2020-04-23	02:00:00	0	0	0	1	2	5	19	88	182	197
2020-04-23	03:00:00	0	0	0	1	2	5	19	88	182	197
2020-04-23	04:00:00	0	0	0	1	2	5	19	88	182	197
2020-04-23	05:00:00	0	0	0	1	2	5	19	88	182	197
2020-04-23	06:00:00	0	0	0	1	2	5	19	88	182	197
2020-04-23	07:00:00	0	0	0	1	2	5	19	88	182	197
2020-04-23	08:00:00	0	0	0	1	2	5	19	88	182	197
2020-04-23	09:00:00	0	0	0	1	2	5	19	88	182	197
2020-04-23	10:00:00	0	0	0	1	2	5	19	88	184	197
2020-04-23	11:00:00	0	0	0	1	2	6	19	89	185	199
2020-04-23	12:00:00	0	0	0	1	2	6	19	88	186	200
2020-04-23	13:00:00	0	0	0	1	2	6	19	88	186	200
2020-04-23	14:00:00	0	0	0	1	2	6	19	88	187	201
2020-04-23	15:00:00	0	0	0	1	2	6	19	88	187	201
