GKZ	Bezirk	Bundesland	Artikel	Differenz_Anzahl	Differenz_Inzidenz	Timestamp_Alt	Timestamp_Neu	Intervall
404	Braunau am Inn	Oberösterreich	Bezirk Braunau am Inn	31	29.7	2020-09-27 11:00:00	2020-10-04 11:00:00	7
505	Tamsweg	Salzburg	Bezirk Tamsweg	6	29.5	2020-09-27 11:00:00	2020-10-04 11:00:00	7
108	Oberpullendorf	Burgenland	Bezirk Oberpullendorf	11	29.3	2020-09-27 11:00:00	2020-10-04 11:00:00	7
601	Graz	Steiermark	Graz	82	28.4	2020-09-27 11:00:00	2020-10-04 11:00:00	7
320	Scheibbs	Niederösterreich	Bezirk Scheibbs	11	26.6	2020-09-27 11:00:00	2020-10-04 11:00:00	7
704	Kitzbühel	Tirol	Bezirk Kitzbühel	17	26.6	2020-09-27 11:00:00	2020-10-04 11:00:00	7
103	Eisenstadt-Umgebung	Burgenland	Bezirk Eisenstadt-Umgebung	11	25.6	2020-09-27 11:00:00	2020-10-04 11:00:00	7
418	Wels-Land	Oberösterreich	Bezirk Wels-Land	18	24.6	2020-09-27 11:00:00	2020-10-04 11:00:00	7
109	Oberwart	Burgenland	Bezirk Oberwart	13	24.0	2020-09-27 11:00:00	2020-10-04 11:00:00	7
314	Lilienfeld	Niederösterreich	Bezirk Lilienfeld	6	23.2	2020-09-27 11:00:00	2020-10-04 11:00:00	7
414	Schärding	Oberösterreich	Bezirk Schärding	13	22.7	2020-09-27 11:00:00	2020-10-04 11:00:00	7
321	Tulln	Niederösterreich	Bezirk Tulln	23	22.2	2020-09-27 11:00:00	2020-10-04 11:00:00	7
106	Mattersburg	Burgenland	Bezirk Mattersburg	8	20.0	2020-09-27 11:00:00	2020-10-04 11:00:00	7
207	Villach Land	Kärnten	Bezirk Villach-Land	12	18.6	2020-09-27 11:00:00	2020-10-04 11:00:00	7
402	Steyr	Oberösterreich	Steyr	7	18.3	2020-09-27 11:00:00	2020-10-04 11:00:00	7
621	Bruck-Mürzzuschlag	Steiermark	Bezirk Bruck-Mürzzuschlag	18	18.2	2020-09-27 11:00:00	2020-10-04 11:00:00	7
620	Murtal	Steiermark	Bezirk Murtal	13	18.1	2020-09-27 11:00:00	2020-10-04 11:00:00	7
408	Grieskirchen	Oberösterreich	Bezirk Grieskirchen	11	17.0	2020-09-27 11:00:00	2020-10-04 11:00:00	7
323	Wiener Neustadt (Land)	Niederösterreich	Bezirk Wiener Neustadt-Land	13	16.7	2020-09-27 11:00:00	2020-10-04 11:00:00	7
622	Hartberg-Fürstenfeld	Steiermark	Bezirk Hartberg-Fürstenfeld	15	16.6	2020-09-27 11:00:00	2020-10-04 11:00:00	7
411	Perg	Oberösterreich	Bezirk Perg	11	16.1	2020-09-27 11:00:00	2020-10-04 11:00:00	7
617	Weiz	Steiermark	Bezirk Weiz	13	14.4	2020-09-27 11:00:00	2020-10-04 11:00:00	7
610	Leibnitz	Steiermark	Bezirk Leibnitz	11	13.3	2020-09-27 11:00:00	2020-10-04 11:00:00	7
415	Steyr-Land	Oberösterreich	Bezirk Steyr-Land	8	13.2	2020-09-27 11:00:00	2020-10-04 11:00:00	7
201	Klagenfurt Stadt	Kärnten	Klagenfurt am Wörthersee	13	12.9	2020-09-27 11:00:00	2020-10-04 11:00:00	7
506	Zell am See	Salzburg	Bezirk Zell am See	11	12.6	2020-09-27 11:00:00	2020-10-04 11:00:00	7
409	Kirchdorf an der Krems	Oberösterreich	Bezirk Kirchdorf an der Krems	7	12.3	2020-09-27 11:00:00	2020-10-04 11:00:00	7
611	Leoben	Steiermark	Bezirk Leoben	7	11.7	2020-09-27 11:00:00	2020-10-04 11:00:00	7
202	Villach Stadt	Kärnten	Villach	7	11.2	2020-09-27 11:00:00	2020-10-04 11:00:00	7
311	Horn	Niederösterreich	Bezirk Horn	3	9.6	2020-09-27 11:00:00	2020-10-04 11:00:00	7
209	Wolfsberg	Kärnten	Bezirk Wolfsberg	5	9.5	2020-09-27 11:00:00	2020-10-04 11:00:00	7
303	Waidhofen an der Ybbs	Niederösterreich	Waidhofen an der Ybbs	1	8.9	2020-09-27 11:00:00	2020-10-04 11:00:00	7
204	Klagenfurt Land	Kärnten	Bezirk Klagenfurt-Land	5	8.4	2020-09-27 11:00:00	2020-10-04 11:00:00	7
205	Sankt Veit an der Glan	Kärnten	Bezirk Sankt Veit an der Glan	4	7.3	2020-09-27 11:00:00	2020-10-04 11:00:00	7
210	Feldkirchen	Kärnten	Bezirk Feldkirchen	2	6.7	2020-09-27 11:00:00	2020-10-04 11:00:00	7
603	Deutschlandsberg	Steiermark	Bezirk Deutschlandsberg	4	6.6	2020-09-27 11:00:00	2020-10-04 11:00:00	7
206	Spittal an der Drau	Kärnten	Bezirk Spittal an der Drau	5	6.6	2020-09-27 11:00:00	2020-10-04 11:00:00	7
623	Südoststeiermark	Steiermark	Bezirk Südoststeiermark	3	3.5	2020-09-27 11:00:00	2020-10-04 11:00:00	7
708	Reutte	Tirol	Bezirk Reutte	1	3.1	2020-09-27 11:00:00	2020-10-04 11:00:00	7
405	Eferding	Oberösterreich	Bezirk Eferding	1	3.0	2020-09-27 11:00:00	2020-10-04 11:00:00	7
707	Lienz	Tirol	Bezirk Lienz	1	2.1	2020-09-27 11:00:00	2020-10-04 11:00:00	7
614	Murau	Steiermark	Bezirk Murau	0	0.0	2020-09-27 11:00:00	2020-10-04 11:00:00	7
105	Jennersdorf	Burgenland	Bezirk Jennersdorf	0	0.0	2020-09-27 11:00:00	2020-10-04 11:00:00	7
102	Rust	Burgenland	Rust (Burgenland)	0	0.0	2020-09-27 11:00:00	2020-10-04 11:00:00	7
101	Eisenstadt	Burgenland	Eisenstadt	-1	-6.8	2020-09-27 11:00:00	2020-10-04 11:00:00	7
