Datum	Uhrzeit	Burgenland	Kärnten	Niederösterreich	Oberösterreich	Salzburg	Steiermark	Tirol	Vorarlberg	Wien
2020-04-16	17:00:00	110	111	929	418	388	849	1061	204	993
2020-04-16	18:00:00	110	111	929	418	388	849	1061	204	993
2020-04-16	19:00:00	110	111	929	418	388	849	1061	204	993
2020-04-16	20:00:00	110	111	929	418	388	849	1061	204	993
2020-04-16	21:00:00	110	111	929	418	388	849	1061	204	993
2020-04-16	22:00:00	110	111	929	418	388	849	1061	204	993
2020-04-16	23:00:00	110	111	929	418	388	849	1061	204	993
2020-04-17	00:00:00	110	111	929	418	388	849	1061	204	993
2020-04-17	01:00:00	110	111	929	418	388	849	1061	204	993
2020-04-17	02:00:00	110	111	929	418	388	849	1061	204	993
2020-04-17	03:00:00	110	111	929	418	388	849	1061	204	993
2020-04-17	04:00:00	110	111	929	418	388	849	1061	204	993
2020-04-17	05:00:00	110	111	929	418	388	849	1061	204	993
2020-04-17	06:00:00	110	111	929	418	388	849	1061	204	993
2020-04-17	07:00:00	110	111	929	418	388	849	1061	204	993
2020-04-17	08:00:00	110	111	929	418	388	849	1061	204	993
2020-04-17	09:00:00	110	111	929	418	388	849	1061	204	993
2020-04-17	10:00:00	110	111	929	418	388	849	1061	204	993
2020-04-17	11:00:00	110	111	929	418	388	849	1061	204	993
2020-04-17	12:00:00	112	102	864	385	307	810	949	194	708
2020-04-17	13:00:00	112	102	864	385	307	810	949	194	708
2020-04-17	14:00:00	112	112	864	385	307	810	949	194	708
2020-04-17	15:00:00	112	112	864	385	307	810	949	194	708
2020-04-17	16:00:00	112	112	864	385	307	810	949	194	708
2020-04-17	17:00:00	112	112	864	385	307	810	949	194	708
2020-04-17	18:00:00	112	112	864	385	307	810	949	194	708
2020-04-17	19:00:00	112	112	864	385	307	810	949	194	708
2020-04-17	20:00:00	112	112	864	385	307	810	949	194	708
2020-04-17	21:00:00	112	112	864	385	307	810	949	194	708
2020-04-17	22:00:00	112	112	864	385	307	810	949	194	708
2020-04-17	23:00:00	112	112	864	385	307	810	949	194	708
2020-04-18	00:00:00	112	112	864	385	307	810	949	194	708
2020-04-18	01:00:00	112	112	864	385	307	810	949	194	708
2020-04-18	02:00:00	112	112	864	385	307	810	949	194	708
2020-04-18	03:00:00	112	112	864	385	307	810	949	194	708
2020-04-18	03:59:59	112	112	864	385	307	810	949	194	708
2020-04-18	05:00:00	112	112	864	385	307	810	949	194	708
2020-04-18	06:00:00	112	112	864	385	307	810	949	194	708
2020-04-18	07:00:00	112	112	864	385	307	810	949	194	708
2020-04-18	08:00:00	112	112	864	385	307	810	949	194	708
2020-04-18	09:00:00	112	112	864	385	307	810	949	194	708
2020-04-18	10:00:00	100	91	821	335	309	764	844	193	557
2020-04-18	11:00:00	100	91	821	335	309	764	844	193	557
2020-04-18	12:00:00	100	91	821	335	309	764	844	193	557
2020-04-18	13:00:00	100	91	821	335	309	764	844	193	557
2020-04-18	14:00:00	100	91	821	335	309	764	844	193	557
2020-04-18	15:00:00	100	91	821	335	309	764	844	193	557
2020-04-18	16:00:00	100	91	821	335	309	764	844	193	557
2020-04-18	17:00:00	100	91	821	335	309	764	844	193	557
2020-04-18	18:00:00	100	91	821	335	309	764	844	193	557
2020-04-18	19:00:00	100	91	821	335	309	764	844	193	557
2020-04-18	20:00:00	100	91	821	335	309	764	844	193	557
2020-04-18	21:00:00	100	91	821	335	309	764	844	193	557
2020-04-18	22:00:00	100	91	821	335	309	764	844	193	557
2020-04-18	23:00:00	100	91	821	335	309	764	844	193	557
2020-04-19	00:00:00	100	91	821	335	309	764	844	193	557
2020-04-19	01:00:00	100	91	821	335	309	764	844	193	557
2020-04-19	02:00:00	100	91	821	335	309	764	844	193	557
2020-04-19	03:00:00	100	91	821	335	309	764	844	193	557
2020-04-19	04:00:00	100	91	821	335	309	764	844	193	557
2020-04-19	05:00:00	100	91	821	335	309	764	844	193	557
2020-04-19	06:00:00	100	91	821	335	309	764	844	193	557
2020-04-19	07:00:00	100	91	821	335	309	764	844	193	557
2020-04-19	08:00:00	100	91	821	335	309	764	844	193	557
2020-04-19	09:00:00	100	91	821	335	309	764	844	193	557
2020-04-19	10:00:00	94	82	828	314	259	736	814	146	523
2020-04-19	11:00:00	94	82	828	314	259	736	814	146	523
2020-04-19	12:00:00	94	82	828	314	259	736	814	146	523
2020-04-19	13:00:00	94	82	828	314	259	736	814	146	523
2020-04-19	14:00:00	94	82	828	314	259	736	814	146	523
2020-04-19	15:00:00	94	82	828	314	259	736	814	146	523
2020-04-19	16:00:00	94	82	828	314	259	736	814	146	523
2020-04-19	17:00:00	94	82	828	314	259	736	814	146	523
2020-04-19	18:00:00	94	82	828	314	259	736	814	146	523
2020-04-19	19:00:00	94	82	828	314	259	736	814	146	523
